Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,126.238,-57.277,180,bottom
C2,100n,C_0603_1608Metric,161.671,-135.509,0,bottom
C3,1u,C_0603_1608Metric,168.656,-121.412,90,bottom
C4,1u,C_0603_1608Metric,158.242,-122.174,-90,bottom
C5,100n,C_0603_1608Metric,127.508,-108.585,180,bottom
C6,100n,C_0603_1608Metric,127.635,-95.377,180,bottom
C7,100n,C_0603_1608Metric,136.271,-62.357,-90,bottom
C8,1u,C_0603_1608Metric,153.289,-89.789,-90,bottom
C9,100n,C_0603_1608Metric,183.007,-93.599,-90,bottom
C10,100n,C_0603_1608Metric,154.94,-89.789,-90,bottom
C11,100n,C_0603_1608Metric,179.705,-115.951,90,bottom
C12,4u7,C_0603_1608Metric,162.433,-90.424,180,bottom
C13,100n,C_0603_1608Metric,165.608,-103.251,-90,bottom
C14,1u,C_0603_1608Metric,160.909,-86.868,90,bottom
C15,100n,C_0603_1608Metric,173.863,-104.775,-90,bottom
C16,100n,C_0603_1608Metric,162.56,-86.855,90,bottom
C17,100n,C_0603_1608Metric,177.419,-90.678,90,bottom
C18,4u7,C_0603_1608Metric,167.259,-105.156,-90,bottom
C19,100n,C_0603_1608Metric,174.752,-88.011,90,bottom
C20,100n,C_0603_1608Metric,162.433,-92.075,180,bottom
C21,100n,C_0603_1608Metric,180.213,-98.679,0,bottom
C22,1u,C_0603_1608Metric,180.213,-100.33,0,bottom
C23,100n,C_0603_1608Metric,159.639,-138.176,90,bottom
C24,100n,C_0603_1608Metric,157.48,-130.937,0,bottom
D4,"BZX84-C3V3,215",SOT-23-3,133.096,-93.853,-90,bottom
D5,"BZX84-C3V3,215",SOT-23-3,133.477,-104.267,90,bottom
D6,"BZX84-C3V3,215",SOT-23-3,136.779,-110.49,180,bottom
D7,"BZX84-C3V3,215",SOT-23-3,136.779,-114.046,180,bottom
D8,"BZX84-C3V3,215",SOT-23-3,121.666,-104.394,90,bottom
D9,"BZX84-C3V3,215",SOT-23-3,129.286,-117.094,90,bottom
D12,SD0805S020S1R0,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,129.1905,-122.619,-90,bottom
D13,SD0805S020S1R0,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,187.579,-105.029,180,bottom
D14,SD0805S020S1R0,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.33,-102.87,-90,bottom
D15,SD0805S020S1R0,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.552,-135.763,-90,bottom
FB1,120R,L_1206_3216Metric,184.277,-98.806,180,bottom
Q1,SI2302A-TPMSCT-ND,SOT-23-3,162.372,-130.2965,-90,bottom
Q2,SI2302A-TPMSCT-ND,SOT-23-3,135.477,-122.555,-90,bottom
Q3,SI2302A-TPMSCT-ND,SOT-23-3,187.4465,-107.889,0,bottom
Q4,SI2302A-TPMSCT-ND,SOT-23-3,106.553,-103.124,-90,bottom
Q5,SI2302A-TPMSCT-ND,SOT-23-3,104.775,-136.017,-90,bottom
R1,160,R_0603_1608Metric,170.942,-133.35,90,bottom
R2,2.2M,R_0603_1608Metric,169.545,-123.698,0,bottom
R3,950k,R_0603_1608Metric,170.307,-127.358127,0,bottom
R4,2.2M,R_0603_1608Metric,169.545,-125.349,0,bottom
R5,550k,R_0603_1608Metric,170.307,-129.009127,0,bottom
R6,11.5k,R_0603_1608Metric,168.021,-127.762,90,bottom
R7,100k,R_0603_1608Metric,158.242,-125.349,-90,bottom
R8,150,R_0603_1608Metric,169.291,-133.35,90,bottom
R9,100k,R_0603_1608Metric,133.223,-98.298,0,bottom
R10,100k,R_0603_1608Metric,133.223,-101.346,0,bottom
R11,100k,R_0603_1608Metric,133.096,-111.506,0,bottom
R12,100k,R_0603_1608Metric,133.096,-114.554,0,bottom
R13,200k,R_0603_1608Metric,133.223,-96.774,0,bottom
R14,200k,R_0603_1608Metric,133.223,-99.822,0,bottom
R15,200k,R_0603_1608Metric,133.096,-109.982,0,bottom
R16,200k,R_0603_1608Metric,133.096,-113.03,0,bottom
R17,200k,R_0603_1608Metric,122.047,-101.473,180,bottom
R18,200k,R_0603_1608Metric,121.92,-113.157,180,bottom
R19,100k,R_0603_1608Metric,122.047,-99.949,180,bottom
R20,100k,R_0603_1608Metric,121.92,-114.681,180,bottom
R21,140,R_0603_1608Metric,168.148,-138.366,90,bottom
R22,130,R_0603_1608Metric,166.624,-138.366,-90,bottom
R23,140,R_0603_1608Metric,165.1,-138.366,90,bottom
R24,130,R_0603_1608Metric,163.576,-138.366,-90,bottom
R25,10k,R_0603_1608Metric,181.356,-115.951,-90,bottom
R26,100k,R_0603_1608Metric,132.7465,-122.619,90,bottom
R27,220,R_0603_1608Metric,131.0955,-122.619,90,bottom
R28,100k,R_0603_1608Metric,186.944,-112.014,180,bottom
R29,220,R_0603_1608Metric,186.944,-110.49,180,bottom
R30,220,R_0603_1608Metric,103.886,-102.616,90,bottom
R31,100k,R_0603_1608Metric,102.235,-102.616,90,bottom
R32,220,R_0603_1608Metric,100.457,-135.382,90,bottom
R33,100k,R_0603_1608Metric,102.108,-135.382,90,bottom
SW1,PTS815 SJM 250 SMTR LFS,SW_SPST_PTS810,178.63,-120.396,-90,bottom
SW2,"PTS815 SJM 250 SMTR LFS
",SW_SPST_PTS810,182.499,-120.437,90,bottom
U3,MAX14572,TSSOP-14-1EP_4.4x5mm_P0.65mm,163.183,-124.471,180,bottom
U4,TSV914IPT,TSSOP-14_4.4x5mm_P0.65mm,127.635,-98.933,180,bottom
U5,TSV914IPT,TSSOP-14_4.4x5mm_P0.65mm,127.508,-112.141,180,bottom
U7,LD39050PU33R,DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm,157.734,-86.868,0,bottom
U9,MCP2542FD-E/SN,SOIC-8_3.9x4.9mm_P1.27mm,156.083,-135.763,-90,bottom
U10,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,170.688,-96.393,180,bottom
X1,OXETDLJANF-8MHZ ,Crystal_SMD_3225-4Pin_3.2x2.5mm,180.467,-93.9292,-90,bottom
